TextU1;U1;TextU2;U2;TextU3;U3;TextU4;U4;TextU6;U6
Oberlaa;60200949;Seestadt;60200942;Simmering;60201260;Hütteldorf;60200560;Siebenhirten;60201235
Neulaa;60201481;Aspern Nord;60200910;Enkplatz;60200425;Ober St Veit;60200956;Perfektastraße;60201007
Alaudagasse;60200014;Hausfeldstraße;60200487;Zippererstr;60200399;Unter St Veit;60201404;Erlaaer Straße;60200285
Altes Landgut;60200033;Aspernstraße;60200299;Gasometer;60201749;Braunschweiggasse;60200161;Alterlaa;60201499
Troststraße;60201573;Donauspital;60201278;Erdberg;60200289;Hietzing;60200520;Am Schöpfwerk;60200048
Reumannplatz;60201095;Hardeggasse;60200473;Schlachthausgasse;60201199;Schönbrunn;60201211;Tscherttgasse;60201394
Keplerplatz;60200666;Stadlau;60201299;Kardinal Nagl Platz;60200653;Meidling HS;60200863;Meidling;60201015
Südtiroler Platz;60201349;Donaustadtbrücke;60200290;Rochusgasse;60201104;Längenfeldgasse;60200820;Niederhofstraße;60200937
Taubstummengasse;60201366;Donaumarina;60200282;Landstraße;60200743;Margaretengürtel;60200827;Längenfeldgasse;60200820
Karlsplatz;60200657;Stadion;60201894;Stubentor;60200245;Pilgramgasse;60201018;Gumpendorfer Straße;60200436
Stephansplatz;60201320;Krieau;60201893;Stephansplatz;60201320;Kettenbrückengasse;60200670;Westbahnhof;60201468
Schwedenplatz;60201198;Messe-Prater;60201892;Herrengasse;60200506;Karlsplatz;60200657;Burggasse-Stadthalle;60200188
Nestroyplatz;60200916;Praterstern;60201040;Volkstheater;60201430;Stadtpark;60201305;Thaliastraße;60201372
Praterstern;60201040;Taborstraße;60201891;Neubaugasse;60200056;Landstraße;60200743;Josefstädter Straße;60200615
Vorgartenstraße;60201433;Schottenring;60201182;Zieglergasse;60201530;Schwedenplatz;60201198;Alser Straße;60200027
Donauinsel;60200234;Schottentor;60201184;Westbahnhof;60201468;Schottenring;60201182;Michelbeuern - AKH;60200874
Kaisermühlen;60200641;Rathaus;60201072;Schweglerstraße;60201200;Roßauerlände;60201124;Währinger Straße-Volksoper;60201510
Alte Donau;60200031;Volkstheater;60201430;Johnstraße;60200606;Friedensbrücke;60200357;Nussdorfer Straße;60200950
Kagran;60200627;Museumsquartier;60200835;Hütteldorfer Straße;60201035;Spittelau;60201062;Spittelau;60201062
Kagraner Platz;60200633;Karlsplatz;60200657;Kendlerstraße;60201317;Heiligenstadt;60200491;Jägerstraße;60201667
Rennbahnweg;60201860;;;Ottakring;60200981;;;Dresdner Straße;60200500
Aderklaaer Straße;60201858;;;;;;;Handelskai;60201705
Großfeldsiedlung;60201859;;;;;;;Neue Donau;60201668
Leopoldau;60200769;;;;;;;Floridsdorf;60200334
